,Builder Name,City,Locality,Property Type,Price in Crores,Area in Sqft,Construction Status,Age of property
397,Vasavi GroupBUILDER0,Hyderabad,Hitech City,5 BHK Apartment ,4.03,4530,Under Construction,Possession by Nov 2027
398,Vasavi GroupBUILDER0,Hyderabad,Hitech City,3 BHK Apartment ,2.2,2480,Under Construction,Possession by Nov 2027
399,Vasavi GroupBUILDER0,Hyderabad,Hitech City,3 BHK Apartment ,2.67,3005,Under Construction,Possession by Nov 2027
400,Vasavi GroupBUILDER0,Hyderabad,Hitech City,5 BHK Apartment ,4.52,5080,Under Construction,Possession by Nov 2027
401,Vasavi GroupBUILDER0,Hyderabad,Hitech City,3 BHK Apartment ,1.98,2225,Under Construction,Possession by Nov 2027
402,Vasavi GroupBUILDER0,Hyderabad,Hitech City,5 BHK Apartment ,4.04,4540,Under Construction,Possession by Nov 2027
403,Vasavi GroupBUILDER0,Hyderabad,Hitech City,3 BHK Apartment ,2.69,3030,Under Construction,Possession by Nov 2027
404,Vasavi GroupBUILDER0,Hyderabad,Hitech City,3 BHK Apartment ,2.65,2980,Under Construction,Possession by Nov 2027
405,Vasavi GroupBUILDER0,Hyderabad,Hitech City,5 BHK Apartment ,6.4,7200,Under Construction,Possession by Nov 2027
406,Vasavi GroupBUILDER0,Hyderabad,Hitech City,3 BHK Apartment ,1.96,2205,Under Construction,Possession by Nov 2027
407,Vasavi GroupBUILDER0,Hyderabad,Hitech City,4 BHK Apartment ,3.92,4410,Under Construction,Possession by Nov 2027
408,Vasavi GroupBUILDER0,Hyderabad,Hitech City,3 BHK Apartment ,2.85,3205,Under Construction,Possession by Nov 2027
409,Vasavi GroupBUILDER0,Hyderabad,Hitech City,3 BHK Apartment ,2.14,2410,Under Construction,Possession by Nov 2027
410,Vasavi GroupBUILDER0,Hyderabad,Hitech City,3 BHK Apartment ,2.86,3220,Under Construction,Possession by Nov 2027
411,Vasavi GroupBUILDER0,Hyderabad,Hitech City,3 BHK Apartment ,1.89,2125,Under Construction,Possession by Nov 2027
412,Vasavi GroupBUILDER0,Hyderabad,Hitech City,3 BHK Apartment ,2.12,2385,Under Construction,Possession by Nov 2027
413,Vasavi GroupBUILDER0,Hyderabad,Hitech City,3 BHK Apartment ,2.13,2400,Under Construction,Possession by Nov 2027
414,Vasavi GroupBUILDER0,Hyderabad,Hitech City,5 BHK Apartment ,5.34,6010,Under Construction,Possession by Nov 2027
415,Vasavi GroupBUILDER0,Hyderabad,Hitech City,5 BHK Apartment ,3.96,4450,Under Construction,Possession by Nov 2027
416,Vasavi GroupBUILDER0,Hyderabad,Hitech City,4 BHK Apartment ,4.27,4800,Under Construction,Possession by Nov 2027
417,Vasavi GroupBUILDER0,Hyderabad,Hitech City,3 BHK Apartment ,1.86,2100,Under Construction,Possession by Nov 2027
418,Vasavi GroupBUILDER0,Hyderabad,Hitech City,4 BHK Apartment ,3.23,3640,Under Construction,Possession by Nov 2027
419,Vasavi GroupBUILDER0,Hyderabad,Hitech City,5 BHK Apartment ,4.24,4770,Under Construction,Possession by Nov 2027
420,Vasavi GroupBUILDER0,Hyderabad,Hitech City,4 BHK Apartment ,5.73,6440,Under Construction,Possession by Nov 2027
421,Vasavi GroupBUILDER0,Hyderabad,Hitech City,4 BHK Apartment ,4.31,4845,Under Construction,Possession by Nov 2027
422,Vasavi GroupBUILDER0,Hyderabad,Hitech City,4 BHK Apartment ,3.27,3680,Under Construction,Possession by Nov 2027
423,Vasavi GroupBUILDER0,Hyderabad,Hitech City,5 BHK Apartment ,5.7,6410,Under Construction,Possession by Nov 2027
424,Vasavi GroupBUILDER0,Hyderabad,Hitech City,4 BHK Apartment ,3.5,3935,Under Construction,Possession by Nov 2027
425,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.5,2150,Under Construction,Possession by Nov 2025
426,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.51,2170,Under Construction,Possession by Nov 2025
427,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.78,2550,Under Construction,Possession by Nov 2025
428,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.41,2020,Under Construction,Possession by Nov 2025
429,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.23,1760,Under Construction,Possession by Nov 2025
430,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.71,2450,Under Construction,Possession by Nov 2025
431,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.55,2220,Under Construction,Possession by Nov 2025
432,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.46,2100,Under Construction,Possession by Nov 2025
433,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.12,1610,Under Construction,Possession by Nov 2025
434,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.47,2110,Under Construction,Possession by Nov 2025
435,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.81,2600,Under Construction,Possession by Nov 2025
436,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.53,2190,Under Construction,Possession by Nov 2025
437,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,1.34,1920,Under Construction,Possession by Nov 2025
438,Vasavi GroupBUILDER0,Hyderabad,Narsingi,3 BHK Apartment ,2.12,3030,Under Construction,Possession by Nov 2025
439,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.67,2090,Ready to move,0 - 1 year old
440,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.68,2100,Ready to move,0 - 1 year old
441,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.68,2100,Ready to move,0 - 1 year old
442,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.44,1810,Ready to move,0 - 1 year old
443,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.44,1810,Ready to move,0 - 1 year old
444,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,2.2,2760,Ready to move,0 - 1 year old
445,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,2.2,2760,Ready to move,0 - 1 year old
446,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.55,1940,Ready to move,0 - 1 year old
447,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.55,1940,Ready to move,0 - 1 year old
448,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.66,2075,Ready to move,0 - 1 year old
449,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.66,2075,Ready to move,0 - 1 year old
450,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.82,2285,Ready to move,0 - 1 year old
451,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.82,2285,Ready to move,0 - 1 year old
452,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,2.26,2830,Ready to move,0 - 1 year old
453,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,2.26,2830,Ready to move,0 - 1 year old
454,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.84,2300,Ready to move,0 - 1 year old
455,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.84,2300,Ready to move,0 - 1 year old
456,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.42,1775,Ready to move,0 - 1 year old
457,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.42,1775,Ready to move,0 - 1 year old
458,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,2.56,3205,Ready to move,0 - 1 year old
459,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,2.56,3205,Ready to move,0 - 1 year old
460,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.4,1750,Ready to move,0 - 1 year old
461,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.4,1750,Ready to move,0 - 1 year old
462,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.56,1955,Ready to move,0 - 1 year old
463,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.56,1955,Ready to move,0 - 1 year old
464,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.92,2405,Ready to move,0 - 1 year old
465,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.92,2405,Ready to move,0 - 1 year old
466,Vasavi GroupBUILDER0,Hyderabad,Kukatpally,3 BHK Apartment ,1.67,2090,Ready to move,0 - 1 year old
467,Alekya Infraa DevelopersAGENT0,Hyderabad,Kothur Patti Digwal,"Residential PlotKothur Patti Digwal, Hyderabad",0.2,1485,New,2 - 3 years old
468,Alekya Infraa DevelopersAGENT0,Hyderabad,Kothur Patti Digwal,"Residential PlotKothur Patti Digwal, Hyderabad",0.34,1485,New,2 - 3 years old
469,Alekya Infraa DevelopersAGENT0,Hyderabad,Sadashivpet,Residential Plot ,0.39759999999999995,2754,New,1 year old
470,Alekya Infraa DevelopersAGENT0,Hyderabad,Sadashivpet,Residential Plot ,0.2625,1818,New,1 year old
471,Alekya Infraa DevelopersAGENT0,Hyderabad,Sadashivpet,Residential Plot ,0.2404,1665,New,1 year old
472,sellerVERIFIED OWNER,Hyderabad,Bandlaguda Jagir,"2 BHK ApartmentBandlaguda Jagir, Hyderabad",0.7998999999999999,1225,Ready to move,2 Bathrooms
473,sellerVERIFIED OWNER,Hyderabad,Aminpur,2 BHK ApartmentAm,0.59,1230,Ready to move,2 Bathrooms
474,sellerVERIFIED OWNER,Hyderabad,Kollur,3 BHK Apartment ,0.62,1440,Ready to move,Resale 
475,sellerVERIFIED OWNER,Hyderabad,Bairagiguda,"3 BHK ApartmentBairagiguda, Hyderabad",0.7998999999999999,1586,Ready to move,4 - 5 years old
476,sellerVERIFIED OWNER,Hyderabad,Kadthal,2 BHK Apartment ,0.85,1102,Ready to move,3 - 4 years old
477,sellerVERIFIED OWNER,Hyderabad,LB Nagar,"10 BHK Independent HouseLB Nagar, Hyderabad",3.4,7000,Ready to move,Resale 
478,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,1.19,3600,New,Possession by Apr 2024
479,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,1.19,3600,New,Possession by Apr 2024
480,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,1.19,3600,New,Possession by Apr 2024
481,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,1.19,3600,New,Possession by Apr 2024
482,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.5999,1800,New,Possession by Apr 2024
483,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.5999,1800,New,Possession by Apr 2024
484,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,1.79,5400,New,Possession by Apr 2024
485,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,1.79,5400,New,Possession by Apr 2024
486,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.8998999999999999,2700,New,Possession by Apr 2024
487,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.8998999999999999,2700,New,Possession by Apr 2024
488,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.4499,1350,New,Possession by Apr 2024
489,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.4499,1350,New,Possession by Apr 2024
490,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.6598999999999999,1980,New,Possession by Apr 2024
491,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.6598999999999999,1980,New,Possession by Apr 2024
492,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.4949,1485,New,Possession by Apr 2024
493,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.4949,1485,New,Possession by Apr 2024
494,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.3749,1125,New,Possession by Apr 2024
495,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.3749,1125,New,Possession by Apr 2024
496,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.7979,2394,New,Possession by Apr 2024
497,Mahaveer GroupBUILDER0,Hyderabad,Gagillapur,Residential Plot ,0.7979,2394,New,Possession by Apr 2024
498,sellerVERIFIED OWNER,Hyderabad,Bachupally,"2 BHK ApartmentBachupally, Hyderabad",0.89,1400,Under Construction,2 Bathrooms
499,sellerVERIFIED OWNER,Hyderabad,Isnapur,3 BHK Apartment ,0.4,1000,Under Construction,Possession by Aug 2024
500,sellerVERIFIED OWNER,Hyderabad,Patancheru,3 BHK Villa ,1.26,1630,Under Construction,3 Bathrooms
501,sellerVERIFIED OWNER,Hyderabad,Isnapur,"2 BHK ApartmentIsnapur, Hyderabad",0.29,1150,Under Construction,2 Bathrooms
502,Sumadhura Infracon Pvt LtdBUILDER0,Hyderabad,Shamshabad,2 BHK Apartment ,0.7801,1285,Under Construction,Possession by Aug 2025
503,Sumadhura Infracon Pvt LtdBUILDER0,Hyderabad,Shamshabad,2 BHK Apartment ,0.865,1420,Under Construction,Possession by Aug 2025
504,Sumadhura Infracon Pvt LtdBUILDER0,Hyderabad,Shamshabad,2 BHK Apartment ,0.865,1420,Under Construction,Possession by Aug 2025
505,Sumadhura Infracon Pvt LtdBUILDER0,Hyderabad,Shamshabad,3 BHK Apartment ,1.03,1680,Under Construction,Possession by Aug 2025
506,Sumadhura Infracon Pvt LtdBUILDER0,Hyderabad,Shamshabad,3 BHK Apartment ,1.03,1680,Under Construction,Possession by Aug 2025
507,Sumadhura Infracon Pvt LtdBUILDER0,Hyderabad,Shamshabad,3 BHK Apartment ,1.0,1625,Under Construction,Possession by Aug 2025
508,Sumadhura Infracon Pvt LtdBUILDER0,Hyderabad,Shamshabad,3 BHK Apartment ,1.0,1625,Under Construction,Possession by Aug 2025
509,Sumadhura Infracon Pvt LtdBUILDER0,Hyderabad,Shamshabad,2 BHK Apartment ,0.8765999999999999,1440,Under Construction,Possession by Aug 2025
510,Sumadhura Infracon Pvt LtdBUILDER0,Hyderabad,Shamshabad,2 BHK Apartment ,0.8765999999999999,1440,Under Construction,Possession by Aug 2025
511,Maaruthi GroupAGENT0,Hyderabad,Pragathi Nagar Kukatpally,"2 BHK ApartmentPragathi Nagar Kukatpally, Hyderabad",0.53,1100,Ready to move,6 - 7 years old
512,Maaruthi GroupAGENT0,Hyderabad,Sultanpur,2 BHK Apartment ,0.53,1100,Ready to move,1 - 2 years old
513,Maaruthi GroupAGENT0,Hyderabad,Pragathi Nagar Kukatpally,"2 BHK ApartmentPragathi Nagar Kukatpally, Hyderabad",0.53,1110,Ready to move,6 - 7 years old
514,Maaruthi GroupAGENT0,Hyderabad,Pragathi Nagar Kukatpally,"2 BHK ApartmentPragathi Nagar Kukatpally, Hyderabad",0.5736,1195,Ready to move,6 - 7 years old
515,Maaruthi GroupAGENT0,Hyderabad,Hyder Nagar,"3 BHK ApartmentHyder Nagar, Hyderabad",0.83,1595,Ready to move,3 Bathrooms
516,Maaruthi GroupAGENT0,Hyderabad,Pragathi Nagar Kukatpally,"2 BHK ApartmentPragathi Nagar Kukatpally, Hyderabad",0.7343000000000001,1310,Ready to move,6 - 7 years old
517,Maaruthi GroupAGENT0,Hyderabad,Pragathi Nagar Kukatpally,"2 BHK ApartmentPragathi Nagar Kukatpally, Hyderabad",0.58,1140,Ready to move,6 - 7 years old
518,Maaruthi GroupAGENT0,Hyderabad,Pragathi Nagar Kukatpally,"3 BHK ApartmentPragathi Nagar Kukatpally, Hyderabad",0.62,1510,Ready to move,6 - 7 years old
519,Maaruthi GroupAGENT0,Hyderabad,Pragathi Nagar Kukatpally,"2 BHK ApartmentPragathi Nagar Kukatpally, Hyderabad",0.59,1140,Ready to move,6 - 7 years old
520,Maaruthi GroupAGENT0,Hyderabad,Pragathi Nagar Kukatpally,"3 BHK ApartmentPragathi Nagar Kukatpally, Hyderabad",0.7,1440,Ready to move,6 - 7 years old
521,sellerVERIFIED OWNER,Hyderabad,Alwal,"3 BHK Independent HouseAlwal, Hyderabad",1.35,2050,Ready to move,3 Bathrooms
522,sellerVERIFIED OWNER,Hyderabad,Manikonda,2 BHK Apartment ,0.9,1380,Under Construction,Possession by Feb 2025
523,sellerVERIFIED OWNER,Hyderabad,Kukatpally,"2 BHK ApartmentKukatpally, Hyderabad",0.84,1450,Ready to move,Resale 
524,sellerVERIFIED OWNER,Hyderabad,Serilingampally,5 BHK Villa ,14.98,6500,Ready to move,5 - 6 years old
525,G square HousingBUILDER0,Hyderabad,Choutuppal,Residential Plot ,0.9781,4797,New,Possession by Apr 2024
526,Maaruthi GroupAGENT0,Hyderabad,Miyapur,"2 BHK ApartmentMiyapur, Hyderabad",0.69,1220,Ready to move,2 Bathrooms
527,Maaruthi GroupAGENT0,Hyderabad,Bachupally,3 BHK Villa ,1.68,2377,Under Construction,3 Bathrooms
528,sellerVERIFIED OWNER,Hyderabad,Turkayamjal,2 BHK Apartment ,0.58,1200,Ready to move,1 - 2 years old
529,sellerVERIFIED OWNER,Hyderabad,Kadthal,Residential Plot ,0.25,12150,Resale,1 - 2 years old
530,sellerVERIFIED OWNER,Hyderabad,Somajiguda,3 BHK Apartment ,1.5,1655,Ready to move,3 Bathrooms
531,sellerVERIFIED OWNER,Hyderabad,Hayathnagar,"3 BHK Independent HouseHayathnagar, Hyderabad",0.97,1030,Under Construction,3 Bathrooms
532,sellerVERIFIED OWNER,Hyderabad,Boduppal,"2 BHK Independent HouseBoduppal, Hyderabad",1.5,1350,Under Construction,4 Bathrooms
533,G square HousingBUILDER0,Hyderabad,BN Reddy nagar,Residential Plot ,2.52,3150,New,6 - 7 years old
534,G square HousingBUILDER0,Hyderabad,BN Reddy nagar,Residential Plot ,1.72,2160,New,6 - 7 years old
535,G square HousingBUILDER0,Hyderabad,BN Reddy nagar,Residential Plot ,1.92,2400,New,6 - 7 years old
536,G square HousingBUILDER0,Hyderabad,Shadnagar,Residential Plot ,0.698,3600,New,6 - 7 years old
537,G square HousingBUILDER0,Hyderabad,Shadnagar,Residential Plot ,0.698,3600,New,6 - 7 years old
538,G square HousingBUILDER0,Hyderabad,Shadnagar,Residential Plot ,0.3141,1620,New,6 - 7 years old
539,G square HousingBUILDER0,Hyderabad,Shadnagar,Residential Plot ,0.3141,1620,New,6 - 7 years old
540,G square HousingBUILDER0,Hyderabad,Shadnagar,Residential Plot ,0.698,3600,New,6 - 7 years old
541,G square HousingBUILDER0,Hyderabad,Shadnagar,Residential Plot ,0.698,3600,New,6 - 7 years old
542,G square HousingBUILDER0,Hyderabad,Shadnagar,Residential Plot ,0.3141,1620,New,6 - 7 years old
543,G square HousingBUILDER0,Hyderabad,Shadnagar,Residential Plot ,0.3141,1620,New,6 - 7 years old
544,sellerVERIFIED OWNER,Hyderabad,Isnapur,2 BHK Apartment ,0.385,960,Under Construction,2 Bathrooms
545,sellerVERIFIED OWNER,Hyderabad,Kukatpally,"2 BHK ApartmentKukatpally, Hyderabad",0.55,1091,Ready to move,2 Bathrooms
546,sellerVERIFIED OWNER,Hyderabad,Velmala,3 BHK Villa ,1.5,2385,Under Construction,Possession by Nov 2022
547,sellerVERIFIED OWNER,Hyderabad,Rajendra Nagar,3 BHK Apartment ,0.9,1150,Ready to move,2 - 3 years old
548,sellerVERIFIED OWNER,Hyderabad,Narsingi,2 BHK Apartment ,1.02,1350,Ready to move,6 - 7 years old
549,sellerVERIFIED OWNER,Hyderabad,Munganoor,"5 BHK Independent HouseMunganoor, Hyderabad",1.45,3100,Under Construction,5 Bathrooms
550,sellerVERIFIED OWNER,Hyderabad,Sanjeeva Reddy Nagar,"8 BHK Independent HouseSanjeeva Reddy Nagar, Hyderabad",2.0,4160,Ready to move,7 Bathrooms
551,sellerVERIFIED OWNER,Hyderabad,Rajendra Nagar,3 BHK Apartment ,0.9,1100,Ready to move,2 - 3 years old
552,sellerVERIFIED OWNER,Hyderabad,Isnapur,2 BHK Apartment ,0.385,960,Under Construction,2 Bathrooms
553,sellerVERIFIED OWNER,Hyderabad,Amberpet,2 BHK Apartment ,0.53,1060,Under Construction,2 Bathrooms
554,sellerVERIFIED OWNER,Hyderabad,Medchal,2 BHK Apartment ,0.56,1055,Ready to move,2 Bathrooms
555,sellerVERIFIED OWNER,Hyderabad,Isnapur,2 BHK Apartment ,0.31,1100,Under Construction,Possession by Dec 2023
556,sellerVERIFIED OWNER,Hyderabad,Krishna Reddy Pet,"4 BHK Independent HouseKrishna Reddy Pet, Hyderabad",1.1,1250,Under Construction,3 Bathrooms
557,sellerVERIFIED OWNER,Hyderabad,Gowlidody,"3 BHK ApartmentGowlidody, Hyderabad",0.79,1490,Ready to move,5 - 6 years old
558,sellerVERIFIED OWNER,Hyderabad,Kompally,2 BHK Apartment ,0.6,950,Ready to move,4 - 5 years old
559,sellerVERIFIED OWNER,Hyderabad,Serilingampally,5 BHK VillaSeril,5.5,3500,Ready to move,6 Bathrooms
560,sellerVERIFIED OWNER,Hyderabad,Dammaiguda,"2 BHK ApartmentDammaiguda, Hyderabad",0.45,1065,Under Construction,2 Bathrooms
561,sellerVERIFIED OWNER,Hyderabad,Dammaiguda,"4 BHK Independent FloorDammaiguda, Hyderabad",1.1,2600,Under Construction,3 Bathrooms
562,sellerVERIFIED OWNER,Hyderabad,Uppal,"3 BHK ApartmentUppal, Hyderabad",0.8,1392,Under Construction,2 Bathrooms
563,sellerVERIFIED OWNER,Hyderabad,Ibrahimpatnam,"3 BHK VillaIbrahimpatnam, Hyderabad",0.645,1700,Under Construction,3 Bathrooms
564,sellerVERIFIED OWNER,Hyderabad,Rampally,"2 BHK ApartmentRampally, Hyderabad",0.6125,1250,Under Construction,2 Bathrooms
565,sellerVERIFIED OWNER,Hyderabad,Gandi Maisamma,"3 BHK ApartmentGandi Maisamma, Hyderabad",0.62,1500,Under Construction,3 Bathrooms
566,sellerVERIFIED OWNER,Hyderabad,Chandanagar,3 BHK Apartment ,0.85,1690,Ready to move,3 Bathrooms
567,sellerVERIFIED OWNER,Hyderabad,Kollur,3 BHK Villa ,3.7,3426,Ready to move,1 - 2 years old
568,sellerVERIFIED OWNER,Hyderabad,Nagole,3 BHK Apartment ,0.86,1385,Under Construction,Possession by Jan 2025
569,sellerVERIFIED OWNER,Hyderabad,Kukatpally,"2 BHK ApartmentKukatpally, Hyderabad",0.87,1350,Ready to move,2 Bathrooms
570,sellerVERIFIED OWNER,Hyderabad,Krishna Reddy Pet,"2 BHK Independent HouseKrishna Reddy Pet, Hyderabad",0.87,1200,Ready to move,6 - 7 years old
571,sellerVERIFIED OWNER,Hyderabad,Beeramguda,2 BHK Independent House ,0.87,1200,Ready to move,3 Bathrooms
572,sellerVERIFIED OWNER,Hyderabad,Nizampet,"3 BHK ApartmentNizampet, Hyderabad",0.68,1495,Ready to move,3 Bathrooms
573,sellerVERIFIED OWNER,Hyderabad,Kukatpally,"3 BHK ApartmentKukatpally, Hyderabad",0.86,1360,Under Construction,2 Bathrooms
574,sellerVERIFIED OWNER,Hyderabad,Krishna Reddy Pet,"2 BHK Independent HouseKrishna Reddy Pet, Hyderabad",0.96,1250,Ready to move,6 - 7 years old
575,sellerVERIFIED OWNER,Hyderabad,Yapral,"4 BHK VillaYapral, Hyderabad",2.39,3382,Ready to move,4 Bathrooms
576,sellerVERIFIED OWNER,Hyderabad,Auto Nagar,2 BHK Apartment ,0.67,1100,Ready to move,10 - 11 years old
577,sellerVERIFIED OWNER,Hyderabad,Kapra,2 BHK Apartment ,0.89,1002,Ready to move,2 - 3 years old
578,sellerVERIFIED OWNER,Hyderabad,Nagole,3 BHK Apartment ,0.75,1460,Ready to move,8 - 9 years old
579,sellerVERIFIED OWNER,Hyderabad,Narsingi,2 BHK ApartmentNars,0.66,1200,Under Construction,2 Bathrooms
580,sellerVERIFIED OWNER,Hyderabad,Gandi Maisamma,"3 BHK ApartmentGandi Maisamma, Hyderabad",0.62,1500,Under Construction,2 Bathrooms
581,sellerVERIFIED OWNER,Hyderabad,Patighanpur,2 BHK Apartment ,0.6,1350,Under Construction,Possession by Dec 2022
582,sellerVERIFIED OWNER,Hyderabad,Madhapur,"2 BHK ApartmentMadhapur, Hyderabad",0.99,1235,Ready to move,2 Bathrooms
583,sellerVERIFIED OWNER,Hyderabad,Aminpur,8 BHK Independent HouseAm,2.89,3800,Ready to move,8 Bathrooms
584,sellerVERIFIED OWNER,Hyderabad,Nagaram,"3 BHK ApartmentNagaram, Hyderabad",0.77,1600,Under Construction,3 Bathrooms
585,sellerVERIFIED OWNER,Hyderabad,Nawab Saheb Kunta,"2 BHK ApartmentNawab Saheb Kunta, Hyderabad",1.8,1000,Ready to move,5 - 6 years old
586,sellerVERIFIED OWNER,Hyderabad,Uppal,"4 BHK Independent HouseUppal, Hyderabad",1.9,2500,Ready to move,Resale 
587,sellerVERIFIED OWNER,Hyderabad,Bhanur,"3 BHK VillaBhanur, Hyderabad",1.2,2551,Under Construction,4 Bathrooms
588,sellerVERIFIED OWNER,Hyderabad,Manneguda,"2 BHK ApartmentManneguda, Hyderabad",0.43,950,Ready to move,6 - 7 years old
589,sellerVERIFIED OWNER,Hyderabad,Yapral,"3 BHK ApartmentYapral, Hyderabad",0.73,1640,Ready to move,3 Bathrooms
590,sellerVERIFIED OWNER,Hyderabad,Krishna Reddy Pet,"4 BHK Independent HouseKrishna Reddy Pet, Hyderabad",0.93,1350,Under Construction,2 Bathrooms
591,sellerVERIFIED OWNER,Hyderabad,Badangpet,"2 BHK ApartmentBadangpet, Hyderabad",0.3749,940,Ready to move,2 Bathrooms
592,sellerVERIFIED OWNER,Hyderabad,Yapral,"5 BHK Independent HouseYapral, Hyderabad",4.1,4000,Ready to move,Resale 
593,sellerVERIFIED OWNER,Hyderabad,Shamshabad,"7 BHK Independent HouseShamshabad, Hyderabad",1.7,5421,Ready to move,9 Bathrooms
594,sellerVERIFIED OWNER,Hyderabad,Ramoji Film city,"4 BHK VillaRamoji Film city, Hyderabad",2.0,2000,Under Construction,3 Bathrooms
595,sellerVERIFIED OWNER,Hyderabad,Amberpet,2 BHK Apartment ,0.53,945,Ready to move,2 Bathrooms
596,sellerVERIFIED OWNER,Hyderabad,Badangpet,"2 BHK Independent HouseBadangpet, Hyderabad",0.65,1000,Ready to move,2 Bathrooms
597,sellerVERIFIED OWNER,Hyderabad,Rampally,2 BHK Apartment ,0.38,800,Ready to move,2 Bathrooms
598,sellerVERIFIED OWNER,Hyderabad,Hyderguda,"3 BHK Independent HouseHyderguda, Hyderabad",4.0,1575,Ready to move,3 Bathrooms
599,sellerVERIFIED OWNER,Hyderabad,Tellapur,3 BHK Apartment ,0.91,1400,Under Construction,2 Bathrooms
600,sellerVERIFIED OWNER,Hyderabad,Nallagandla Gachibowli,3 BHK Apartment ,1.32,1695,Under Construction,Possession by Jul 2028
601,sellerVERIFIED OWNER,Hyderabad,Chandanagar,"3 BHK ApartmentChandanagar, Hyderabad",0.85,1300,Ready to move,3 Bathrooms
