,Builder Name,City,Locality,Property Type,Price in Crores,Area in Sqft,Construction Status,Age of property
4988,ProptigerAGENT0,Hyderabad,Kokapet,4 BHK Apartment ,4.8,3939,Under Construction,Possession by Nov 2025
4989,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.265,2400,New,3 - 4 years old
4990,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.105,1010,New,3 - 4 years old
4991,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.35200000000000004,1980,New,1 open sides
4992,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.183,1500,New,1 open sides
4993,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.3152,1728,New,3 - 4 years old
4994,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.31120000000000003,1773,New,3 - 4 years old
4995,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.28600000000000003,1700,New,3 - 4 years old
4996,FuturelandAGENT0,Hyderabad,Bandaraviryal,Residential Plot ,0.28800000000000003,1620,New,1 - 2 years old
4997,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.215,1530,New,4 - 5 years old
4998,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.31,1872,New,1 open sides
4999,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.35600000000000004,1800,New,3 - 4 years old
5000,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.31,1620,New,3 - 4 years old
5001,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.3525,1805,New,3 - 4 years old
5002,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.2995,1701,New,1 open sides
5003,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.20679999999999998,1700,New,1 open sides
5004,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.2254,1651,New,4 - 5 years old
5005,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.27649999999999997,1620,New,3 - 4 years old
5006,FuturelandAGENT0,Hyderabad,Sadashivpet,"Residential PlotSadashivpet, Hyderabad",0.2025,1351,New,4 - 5 years old
5007,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.36,1801,New,1 open sides
5008,Home SpaceAGENT0,Hyderabad,Patighanpur,3 BHK Apartment ,1.09,1885,Under Construction,Possession by Nov 2025
5009,Home SpaceAGENT0,Hyderabad,Patighanpur,3 BHK Apartment ,1.09,1885,Under Construction,Possession by Nov 2025
5010,Home SpaceAGENT0,Hyderabad,Patighanpur,2 BHK Apartment ,0.7451000000000001,1285,Under Construction,Possession by Nov 2025
5011,Home SpaceAGENT0,Hyderabad,Patighanpur,2 BHK Apartment ,0.7451000000000001,1285,Under Construction,Possession by Nov 2025
5012,Home SpaceAGENT0,Hyderabad,Patighanpur,3 BHK Apartment ,1.09,1885,Under Construction,Possession by Nov 2025
5013,Home SpaceAGENT0,Hyderabad,Patighanpur,3 BHK Apartment ,1.09,1885,Under Construction,Possession by Nov 2025
5014,Home SpaceAGENT0,Hyderabad,Patighanpur,2 BHK Apartment ,0.7451000000000001,1285,Under Construction,Possession by Nov 2025
5015,Home SpaceAGENT0,Hyderabad,Patighanpur,2 BHK Apartment ,0.7451000000000001,1285,Under Construction,Possession by Nov 2025
5016,Home SpaceAGENT0,Hyderabad,Patighanpur,3 BHK Apartment ,0.9190999999999999,1585,Under Construction,Possession by Nov 2025
5017,Home SpaceAGENT0,Hyderabad,Patighanpur,3 BHK Apartment ,0.9190999999999999,1585,Under Construction,Possession by Nov 2025
5018,Home SpaceAGENT0,Hyderabad,Patighanpur,3 BHK Apartment ,0.9858,1700,Under Construction,Possession by Nov 2025
5019,Home SpaceAGENT0,Hyderabad,Patighanpur,3 BHK Apartment ,0.9858,1700,Under Construction,Possession by Nov 2025
5020,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.35600000000000004,1790,New,1 open sides
5021,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.35609999999999997,1805,New,1 open sides
5022,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.36579999999999996,1805,New,1 open sides
5023,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.2995,1652,New,3 - 4 years old
5024,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.162,1350,New,1 open sides
5025,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.2866,1351,New,3 - 4 years old
5026,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.3594,1800,New,3 - 4 years old
5027,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.2958,1400,New,1 open sides
5028,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.24,2160,New,3 - 4 years old
5029,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.12,1093,New,3 - 4 years old
5030,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.2853,1485,New,3 - 4 years old
5031,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.301,1845,New,3 - 4 years old
5032,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.29100000000000004,185,New,3 - 4 years old
5033,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.198,1620,New,1 open sides
5034,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.365,1800,New,1 open sides
5035,FuturelandAGENT0,Hyderabad,Ramoji Film city,"Residential PlotRamoji Film city, Hyderabad",0.2,1650,New,1 open sides
5036,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.297,1500,New,3 - 4 years old
5037,FuturelandAGENT0,Hyderabad,Gowrelly,"Residential PlotGowrelly, Hyderabad",0.36,1801,New,3 - 4 years old
5038,FuturelandAGENT0,Hyderabad,Taramatipet,"Residential PlotTaramatipet, Hyderabad",0.297,1500,New,1 open sides
5039,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.35600000000000004,1800,New,1 open sides
5040,FuturelandAGENT0,Hyderabad,Kandi,"Residential PlotKandi, Hyderabad",0.35,1650,New,2 years old
5041,FuturelandAGENT0,Hyderabad,kuntloor,"Residential Plotkuntloor, Hyderabad",0.2955,1650,New,1 open sides
